time,accX,accY,accZ,target,group
2023-09-15 15:11:03.441,-0.66,0.22,-1.22,Walk,1
2023-09-15 15:11:03.458,-1.21,0.24,-0.83,Walk,1
2023-09-15 15:11:03.475,-1.18,0.71,-0.82,Walk,1
2023-09-15 15:11:03.491,-0.27,0.93,0.04,Walk,1
2023-09-15 15:11:03.508,0.75,0.66,0.49,Walk,1
2023-09-15 15:11:03.525,0.73,0.64,0.57,Walk,1
2023-09-15 15:11:03.541,0.76,0.44,0.35,Walk,1
2023-09-15 15:11:03.558,0.66,,,Walk,1
2023-09-15 15:11:03.575,0.24,0.59,0.23,Walk,1
2023-09-15 15:11:03.594,0.21,0.34,0.15,Walk,1
2023-09-15 15:11:03.608,-0.43,-0.01,-0.16,Walk,1
2023-09-15 15:11:03.625,-0.78,-0.49,-0.98,Walk,1
2023-09-15 15:11:03.641,-0.61,-0.52,-1.03,Walk,1
2023-09-15 15:11:03.658,-0.11,-0.42,-1.07,Walk,1
2023-09-15 15:11:03.675,0.31,-0.15,-1.77,Walk,1
2023-09-15 15:11:03.692,0.4,-0.06,-2.04,Walk,1
2023-09-15 15:11:03.708,0.28,0.24,-2.02,Walk,1
2023-09-15 15:11:03.725,0.14,0.47,-1.47,Walk,1
2023-09-15 15:11:03.742,-0.15,0.72,-1.25,Walk,1
2023-09-15 15:11:03.758,0.06,0.8,-0.92,Walk,1
2023-09-15 15:11:03.775,0.4,0.48,-1.05,Walk,1
2023-09-15 15:11:03.791,0.5,0.3,-0.94,Walk,1
2023-09-15 15:11:03.808,0.81,0.35,0.03,Walk,1
2023-09-15 15:11:03.825,0.84,0.62,0.21,Walk,1
2023-09-15 15:11:03.842,0.84,0.69,0.23,Walk,1
2023-09-15 15:11:03.858,0.81,0.64,-0.63,Walk,1
2023-09-15 15:11:03.875,0.74,0.45,-1.54,Walk,1
2023-09-15 15:11:03.892,0.74,0.46,-1.63,Walk,1
2023-09-15 15:11:03.908,0.78,0.46,-1.42,Walk,1
2023-09-15 15:11:03.925,1.0,0.53,-0.44,Walk,1
2023-09-15 15:11:03.942,0.91,0.67,0.02,Walk,1
2023-09-15 15:11:03.958,0.63,0.77,0.48,Walk,1
2023-09-15 15:11:03.975,0.08,0.67,0.6,Walk,1
2023-09-15 15:11:03.993,-0.29,0.77,0.87,Walk,1
2023-09-15 15:11:04.008,-0.65,0.72,0.72,Walk,1
2023-09-15 15:11:04.025,-0.95,0.58,0.82,Walk,1
2023-09-15 15:11:04.042,-0.68,1.12,1.02,Walk,1
2023-09-15 15:11:04.057,-0.49,1.35,0.99,Walk,1
2023-09-15 15:11:04.075,-0.07,1.95,1.04,Walk,1
2023-09-15 15:11:04.090,0.23,3.07,1.82,Walk,1
2023-09-15 15:11:04.108,0.4,3.85,2.36,Walk,1
2023-09-15 15:11:04.126,0.67,5.22,3.66,Walk,1
2023-09-15 15:11:04.142,0.97,6.67,5.0,Walk,1
2023-09-15 15:11:04.158,1.16,7.51,5.87,Walk,1
2023-09-15 15:11:04.175,1.33,9.19,7.18,Walk,1
2023-09-15 15:11:04.191,0.97,10.2,,Walk,1
2023-09-15 15:11:04.208,0.6,10.12,6.62,Walk,1
2023-09-15 15:11:04.224,-0.61,9.41,4.1,Walk,1
2023-09-15 15:11:04.242,-1.79,7.73,1.41,Walk,1
2023-09-15 15:11:04.258,-2.08,6.67,0.29,Walk,1
2023-09-15 15:11:04.275,-1.68,6.03,-0.63,Walk,1
2023-09-15 15:11:04.291,-3.09,5.26,-1.14,Walk,1
2023-09-15 15:11:04.308,-2.89,4.92,-2.96,Walk,1
2023-09-15 15:11:04.325,-6.58,0.06,-0.97,Walk,1
2023-09-15 15:11:04.342,-5.59,-1.53,0.51,Walk,1
2023-09-15 15:11:04.358,-5.7,-1.62,0.41,Walk,1
2023-09-15 15:11:04.375,-5.59,-2.97,-0.06,Walk,1
2023-09-15 15:11:04.391,-5.58,-2.42,1.96,Walk,1
2023-09-15 15:11:04.408,-4.22,-2.25,1.26,Walk,1
2023-09-15 15:11:04.425,-1.9,-2.0,0.47,Walk,1
2023-09-15 15:11:04.442,-1.77,-2.05,1.08,Walk,1
2023-09-15 15:11:04.458,-3.48,-3.37,1.5,Walk,1
2023-09-15 15:11:04.475,-3.49,-3.21,1.4,Walk,1
2023-09-15 15:11:04.492,-1.38,-2.44,1.24,Walk,1
2023-09-15 15:11:04.508,0.67,-2.01,0.36,Walk,1
2023-09-15 15:11:04.525,1.33,-1.95,-0.07,Walk,1
2023-09-15 15:11:04.542,0.19,-2.87,0.13,Walk,1
2023-09-15 15:11:04.558,-1.45,-3.17,0.86,Walk,1
2023-09-15 15:11:04.575,-1.92,-3.34,0.62,Walk,1
2023-09-15 15:11:04.592,-0.83,-1.8,-0.18,Walk,1
2023-09-15 15:11:04.608,-2.82,-4.22,-0.8,Walk,1
2023-09-15 15:11:04.625,-3.7,-4.4,-0.83,Walk,1
2023-09-15 15:11:04.641,-3.34,-4.0,-1.23,Walk,1
2023-09-15 15:11:04.658,-3.54,-3.48,-0.98,Walk,1
2023-09-15 15:11:04.675,-4.26,-3.61,-0.83,Walk,1
2023-09-15 15:11:04.692,-3.98,-3.57,-0.4,Walk,1
2023-09-15 15:11:04.708,-3.14,-3.07,-0.04,Walk,1
2023-09-15 15:11:04.725,-2.58,-2.71,0.4,Walk,1
2023-09-15 15:11:04.741,-1.74,-2.14,1.04,Walk,1
2023-09-15 15:11:04.758,-1.06,-2.09,0.89,Walk,1
2023-09-15 15:11:04.775,-0.94,-1.44,1.59,Walk,1
2023-09-15 15:11:04.792,-0.53,-0.52,2.31,Walk,1
2023-09-15 15:11:04.808,-1.4,-0.7,1.4,Walk,1
2023-09-15 15:11:04.825,-2.06,-0.86,1.49,Walk,1
2023-09-15 15:11:04.842,-2.02,0.02,0.91,Walk,1
2023-09-15 15:11:04.858,-2.03,0.02,0.1,Walk,1
2023-09-15 15:11:04.875,-2.06,-0.3,0.29,Walk,1
2023-09-15 15:11:04.891,-4.07,,,Walk,1
2023-09-15 15:11:04.908,-4.26,-0.38,-0.61,Walk,1
2023-09-15 15:11:04.925,-4.98,-0.53,0.73,Walk,1
2023-09-15 15:11:04.941,-4.57,-1.22,0.35,Walk,1
2023-09-15 15:11:04.958,-3.87,-0.81,0.58,Walk,1
2023-09-15 15:11:04.975,-2.72,-0.78,0.31,Walk,1
2023-09-15 15:11:04.991,-2.35,,,Walk,1
2023-09-15 15:11:05.008,-1.89,-1.38,-0.02,Walk,1
2023-09-15 15:11:05.025,-1.75,-1.4,-0.58,Walk,1
2023-09-15 15:11:05.041,-1.67,-1.31,-0.83,Walk,1
2023-09-15 15:11:05.058,-1.51,-1.06,-0.9,Walk,1
2023-09-15 15:11:05.075,-1.34,-0.81,-0.2,Walk,1
2023-09-15 15:11:05.091,-1.42,-0.69,0.13,Walk,1
2023-09-15 15:11:05.108,-1.71,-0.63,0.23,Walk,1
2023-09-15 15:11:05.125,-2.05,-0.75,-0.15,Walk,1
2023-09-15 15:11:05.141,-2.07,-0.91,-0.47,Walk,1
2023-09-15 15:11:05.158,-1.87,-1.14,-1.1,Walk,1
2023-09-15 15:11:05.175,-1.38,-1.28,-1.55,Walk,1
2023-09-15 15:11:05.191,-0.98,-1.25,-1.57,Walk,1
2023-09-15 15:11:05.208,-0.3,-1.09,-1.49,Walk,1
2023-09-15 15:11:05.225,0.0,-0.82,-1.18,Walk,1
2023-09-15 15:11:05.241,0.09,-0.58,-0.86,Walk,1
2023-09-15 15:11:05.258,-0.03,-0.16,0.07,Walk,1
2023-09-15 15:11:05.275,-0.32,0.14,0.86,Walk,1
2023-09-15 15:11:05.292,-0.27,0.44,1.11,Walk,1
2023-09-15 15:11:05.308,-0.32,0.83,1.15,Walk,1
2023-09-15 15:11:05.325,-0.37,1.1,0.77,Walk,1
2023-09-15 15:11:05.343,-0.31,1.24,0.4,Walk,1
2023-09-15 15:11:05.358,-0.12,1.64,-0.32,Walk,1
2023-09-15 15:11:05.375,0.39,2.02,-0.74,Walk,1
2023-09-15 15:11:05.391,0.95,2.38,-1.2,Walk,1
2023-09-15 15:11:05.408,1.27,2.49,-1.4,Walk,1
2023-09-15 15:11:05.425,1.73,2.67,-1.45,Walk,1
2023-09-15 15:11:05.442,2.25,2.85,-1.4,Walk,1
2023-09-15 15:11:05.458,2.48,2.99,-1.32,Walk,1
2023-09-15 15:11:05.475,2.82,3.0,-1.29,Walk,1
2023-09-15 15:11:05.492,3.17,3.01,-1.02,Walk,1
2023-09-15 15:11:05.508,3.31,3.0,-0.86,Walk,1
2023-09-15 15:11:05.525,3.64,2.91,-0.45,Walk,1
2023-09-15 15:11:05.542,3.65,2.83,-0.25,Walk,1
2023-09-15 15:11:05.558,3.6,2.87,-0.13,Walk,1
2023-09-15 15:11:05.575,3.72,2.95,0.09,Walk,1
2023-09-15 15:11:05.591,3.91,2.93,0.49,Walk,1
2023-09-15 15:11:05.608,3.91,2.8,0.65,Walk,1
2023-09-15 15:11:05.625,3.54,2.86,0.72,Walk,1
2023-09-15 15:11:05.641,2.78,3.99,,Walk,1
2023-09-15 15:11:05.658,2.38,4.12,1.1,Walk,1
2023-09-15 15:11:05.675,1.82,3.95,1.47,Walk,1
2023-09-15 15:11:05.692,1.19,3.46,0.76,Walk,1
2023-09-15 15:11:05.708,0.77,3.2,0.18,Walk,1
2023-09-15 15:11:05.725,-0.14,2.62,-0.9,Walk,1
2023-09-15 15:11:05.741,-1.64,2.05,-1.23,Walk,1
2023-09-15 15:11:05.758,-2.62,1.52,-1.33,Walk,1
2023-09-15 15:11:05.775,-4.01,0.73,-1.14,Walk,1
2023-09-15 15:11:05.791,-4.45,-0.37,-0.96,Walk,1
2023-09-15 15:11:05.808,-4.46,-1.05,-0.92,Walk,1
2023-09-15 15:11:05.824,-4.1,-2.2,-1.37,Walk,1
2023-09-15 15:11:05.841,-3.39,-2.95,-1.79,Walk,1
2023-09-15 15:11:05.858,-2.33,-3.44,-1.38,Walk,1
2023-09-15 15:11:05.874,-1.71,-3.62,-1.09,Walk,1
2023-09-15 15:11:05.891,-0.85,-3.89,-0.44,Walk,1
2023-09-15 15:11:05.908,-0.32,-4.19,0.31,Walk,1
2023-09-15 15:11:05.924,-0.27,-4.33,0.55,Walk,1
2023-09-15 15:11:05.942,-0.36,-4.28,0.84,Walk,1
2023-09-15 15:11:05.958,-0.58,-4.12,0.86,Walk,1
2023-09-15 15:11:05.975,-0.77,-3.87,0.82,Walk,1
2023-09-15 15:11:05.991,-1.17,-3.32,0.63,Walk,1
2023-09-15 15:11:06.008,-1.52,-2.87,0.35,Walk,1
2023-09-15 15:11:06.025,-1.67,-2.6,0.19,Walk,1
2023-09-15 15:11:06.041,-2.02,,,Walk,1
2023-09-15 15:11:06.058,-2.32,-1.9,-0.93,Walk,1
2023-09-15 15:11:06.075,-2.41,-1.78,-1.31,Walk,1
2023-09-15 15:11:06.092,-2.53,-1.61,-2.13,Walk,1
2023-09-15 15:11:06.108,-2.56,-1.5,-2.52,Walk,1
2023-09-15 15:11:06.125,-2.64,-1.45,-2.65,Walk,1
2023-09-15 15:11:06.141,-2.91,-1.32,-2.45,Walk,1
2023-09-15 15:11:06.158,-3.62,-1.22,-1.28,Walk,1
2023-09-15 15:11:06.175,-4.17,-1.29,-0.13,Walk,1
2023-09-15 15:11:06.191,-4.13,-1.39,1.71,Walk,1
2023-09-15 15:11:06.208,-3.29,-1.36,2.26,Walk,1
2023-09-15 15:11:06.225,-3.25,-1.36,2.33,Walk,1
2023-09-15 15:11:06.241,-3.72,-1.91,2.15,Walk,1
2023-09-15 15:11:06.258,-4.52,-0.87,2.33,Walk,1
2023-09-15 15:11:06.274,-4.39,-0.25,2.18,Walk,1
2023-09-15 15:11:06.292,-4.18,0.19,1.75,Walk,1
2023-09-15 15:11:06.309,-4.45,0.57,1.01,Walk,1
2023-09-15 15:11:06.324,-4.58,0.58,0.75,Walk,1
2023-09-15 15:11:06.342,-5.01,0.02,0.47,Walk,1
2023-09-15 15:11:06.358,-5.5,-0.61,-0.21,Walk,1
2023-09-15 15:11:06.374,-5.11,-0.66,-1.14,Walk,1
2023-09-15 15:11:06.392,-4.44,-0.45,-1.63,Walk,1
2023-09-15 15:11:06.408,-2.69,0.03,-2.24,Walk,1
